tweet_id,favorite_count,retweet_count
795076730285391872,15348,5103
794983741416415232,0,3160
794926597468000259,9685,2160
794355576146903043,0,9666
794332329137291264,9132,2537
794205286408003585,8780,3113
793962221541933056,15910,4580
793845145112371200,8775,1747
793614319594401792,0,2926
793601777308463104,7582,1518
793500921481273345,10128,2236
793286476301799424,23357,8598
793271401113350145,8258,2248
793256262322548741,18941,7806
793241302385262592,9992,3078
793226087023144960,9287,2718
793210959003287553,8482,2609
793195938047070209,14463,5275
793180763617361921,6567,1865
793165685325201412,8913,2627
793150605191548928,5856,1595
793135492858580992,6086,2361
793120401413079041,12028,3689
792913359805018113,13606,3717
792883833364439040,10716,4005
792773781206999040,7000,1572
792394556390137856,12724,4017
792050063153438720,6778,1673
791821351946420224,0,19716
791784077045166082,0,8908
791780927877898241,0,3558
791774931465953280,42778,20773
791672322847637504,11150,2926
791406955684368384,12491,3857
791312159183634433,8324,2367
791026214425268224,0,3819
790987426131050500,9309,1993
790946055508652032,15864,4389
790723298204217344,0,2145
790698755171364864,7803,1808
790581949425475584,19571,6650
790337589677002753,7422,1769
790277117346975746,11906,2957
790227638568808452,0,3312
789986466051088384,8810,2145
789960241177853952,0,3836
789903600034189313,9789,3887
789628658055020548,7083,1651
789599242079838210,6383,1796
789530877013393408,11097,3160
789314372632018944,8202,2139
789280767834746880,0,4592
789268448748703744,8666,2448
789137962068021249,9225,2608
788908386943430656,26075,11714
788765914992902144,25919,9666
788552643979468800,0,6666
788412144018661376,14726,4927
788178268662984705,6899,1979
788150585577050112,5803,1199
788070120937619456,0,3214
788039637453406209,5797,1229
787810552592695296,8155,2840
787717603741622272,9714,2586
787397959788929025,10335,2669
787322443945877504,7397,1628
787111942498508800,0,6298
786963064373534720,25285,7428
786729988674449408,0,2275
786709082849828864,17372,5732
786664955043049472,10053,2365
786595970293370880,8981,2917
786363235746385920,10284,3220
786286427768250368,7565,2647
786233965241827333,14414,4378
786051337297522688,1353,148
786036967502913536,0,6504
785927819176054784,10815,2991
785872687017132033,6344,1673
785639753186217984,7457,2106
785533386513321988,8591,1841
785515384317313025,5796,1165
785264754247995392,6906,1518
785170936622350336,11382,4500
784826020293709826,9579,3012
784517518371221505,8499,2366
784431430411685888,5446,1184
784183165795655680,18963,7480
784057939640352768,28124,10360
783839966405230592,28406,10048
783821107061198850,6987,1829
783695101801398276,9872,2990
783466772167098368,7983,2076
783391753726550016,16003,5092
783347506784731136,0,5146
783334639985389568,27496,10885
783085703974514689,7737,2020
782969140009107456,22817,6891
782747134529531904,7065,1318
782722598790725632,16302,5013
782598640137187329,7379,1766
782305867769217024,15712,5129
782021823840026624,0,5736
781955203444699136,10571,3138
781661882474196992,9879,2528
781655249211752448,3786,1053
781524693396357120,19594,5147
781308096455073793,6753,2385
781251288990355457,7926,1930
781163403222056960,9273,2583
780931614150983680,20493,6743
780858289093574656,6802,1865
780800785462489090,5197,1201
780601303617732608,11429,3127
780543529827336192,5951,1627
780496263422808064,0,3424
780476555013349377,0,103
780459368902959104,4998,1003
780192070812196864,8218,2089
780092040432480260,0,2137
780074436359819264,11437,4570
779834332596887552,17773,6504
779377524342161408,8253,2887
779124354206535695,0,17025
779056095788752897,13899,4212
778990705243029504,18752,6657
778774459159379968,0,9154
778764940568104960,820,338
778748913645780993,6463,1206
778650543019483137,5419,1391
778624900596654080,4342,943
778408200802557953,12871,4006
778396591732486144,0,11343
778383385161035776,5507,1019
778286810187399168,9743,3061
778039087836069888,7995,2466
778027034220126208,6196,1492
777953400541634568,0,3267
777885040357281792,5998,1514
777684233540206592,10621,2725
777641927919427584,0,3921
777621514455814149,8220,2341
777189768882946048,13319,3984
776819012571455488,0,12604
776813020089548800,4605,1113
776477788987613185,8247,2559
776249906839351296,0,8461
776218204058357768,28102,14724
776201521193218049,9024,2335
776113305656188928,11119,4024
776088319444877312,1714,141
775898661951791106,0,15534
775842724423557120,11040,2465
775733305207554048,13081,3697
775729183532220416,12267,4279
775364825476165632,6949,2713
775350846108426240,9583,3629
775085132600442880,14627,4371
774757898236878852,8134,1656
774639387460112384,6365,1614
774314403806253056,20544,5088
773985732834758656,10163,3587
773922284943896577,6057,1628
773704687002451968,6239,1498
773670353721753600,5055,1223
773547596996571136,20830,5696
773336787167145985,0,4671
773308824254029826,21985,6950
773247561583001600,8886,3004
773191612633579521,9397,3804
772877495989305348,8049,3578
772826264096874500,7566,2210
772615324260794368,0,3118
772581559778025472,6110,1586
772193107915964416,5681,1289
772152991789019136,3590,1054
772117678702071809,3556,687
772114945936949249,2583,439
772102971039580160,3775,866
771908950375665664,6189,1756
771770456517009408,11288,3139
771500966810099713,7777,2420
771380798096281600,9919,4671
771171053431250945,0,6894
771136648247640064,8611,2709
771102124360998913,5864,1332
771014301343748096,6486,1539
770787852854652928,4620,1104
770772759874076672,4889,1326
770655142660169732,6926,1667
770414278348247044,5944,1927
770293558247038976,5852,1355
770093767776997377,0,2817
770069151037685760,7145,2124
769940425801170949,29298,8832
769695466921623552,6047,1562
769335591808995329,0,7127
769212283578875904,5084,1600
768970937022709760,13412,6001
768909767477751808,0,2442
768855141948723200,3936,826
768609597686943744,3860,1099
768596291618299904,4735,1188
768554158521745409,0,5385
768473857036525572,12773,3159
768193404517830656,10197,3267
767884188863397888,4468,1265
767754930266464257,14987,4958
767500508068192258,7055,2151
767191397493538821,11541,3479
767122157629476866,9557,2647
766793450729734144,4750,1259
766714921925144576,2464,347
766693177336135680,3796,730
766423258543644672,5638,1459
766313316352462849,6347,1734
766078092750233600,0,2423
766069199026450432,3947,775
766008592277377025,3539,461
765719909049503744,6806,1995
765669560888528897,4855,1132
765395769549590528,25126,3117
765371061932261376,6682,2005
765222098633691136,10931,3118
764857477905154048,6085,1648
764259802650378240,5643,1393
763956972077010945,734,50
763837565564780549,11766,3819
763183847194451968,5061,1359
763167063695355904,0,2752
763103485927849985,6935,2123
762699858130116608,11371,3312
762471784394268675,10519,5917
762464539388485633,9652,3836
762316489655476224,4503,1028
762035686371364864,29829,14309
761976711479193600,5049,1827
761750502866649088,0,3589
761745352076779520,4022,794
761672994376806400,46305,26755
761599872357261312,3884,1102
761371037149827077,0,16662
761334018830917632,4830,1339
761292947749015552,4193,1001
761227390836215808,5002,1447
761004547850530816,10656,3214
760893934457552897,3576,890
760656994973933572,6182,1752
760641137271070720,4681,1190
760539183865880579,7080,3344
760521673607086080,3923,1288
760290219849637889,25091,10576
760252756032651264,3707,798
760190180481531904,5352,1653
760153949710192640,0,28
759943073749200896,5531,1934
759846353224826880,6297,1798
759793422261743616,5583,1762
759557299618865152,4404,1103
759447681597108224,7946,2275
759446261539934208,1564,454
759197388317847553,5701,1804
759159934323924993,0,1067
759099523532779520,13633,3826
759047813560868866,6071,1850
758854675097526272,3327,842
758828659922702336,10488,3556
758740312047005698,5381,1499
758474966123810816,3562,914
758467244762497024,4478,2029
758405701903519748,4878,1764
758355060040593408,3160,966
758099635764359168,17737,9154
758041019896193024,2531,339
757741869644341248,6418,3024
757729163776290825,0,7213
757725642876129280,4252,1113
